caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume
sub-via364,CFIN,4724,[4724],[3569.23833732],3569.238337316281,False,True,True,True,1303.9261707124115,1303.9261707124106,4566,[4566],[3396.65415688],3396.6541568826588,False,True,True,True,1234.4274800642756,1234.4274800642772
sub-via429,CFIN,3660,[3660],[2797.63025978],2797.6302597844033,False,True,True,True,1017.956610702724,1017.9566107027313,3662,[3662],[2832.52352051],2832.5235205087756,False,True,True,True,1042.987793319729,1042.98779331973
sub-via494,CFIN,4442,[4442],[3313.95112372],3313.951123720027,False,True,True,True,1197.0689707078504,1197.068970707845,2210,[2210],[1582.91753637],1582.9175363738857,False,True,True,True,593.2657581387972,593.2657581387972
sub-via511,CFIN,3794,[3794],[2735.09093353],2735.090933534641,True,False,True,True,-1.0,-1.0,3466,[3466],[2633.98424811],2633.984248108116,False,True,True,True,970.6233568866328,970.6233568866328
sub-via238,CFIN,4578,[4578],[3467.325066],3467.3250660000404,False,True,True,True,1261.069712270123,1261.069712270123,5052,[5052],[3790.20609816],3790.2060981649474,False,True,True,True,1368.1172697944342,1368.117269794434
sub-via293,CFIN,4648,[4648],[3421.15202772],3421.1520277172444,False,True,True,True,1253.5563152985947,1253.556315298595,4084,[4084],[3022.83825671],3022.838256705047,False,True,True,True,1105.6875788379998,1105.6875788380012
sub-via320,CFIN,4764,[4764],[3503.59420201],3503.594202009698,False,True,True,True,1288.716850102096,1288.7168501021024,5082,[5082],[3790.68329165],3790.6832916506114,False,True,True,True,1407.278182805877,1407.278182805875
sub-via355,CFIN,4390,[4390],[3264.36461046],3264.364610463792,False,True,True,True,1203.9638949868427,1203.963894986839,4396,[4396],[3324.27631722],3324.276317217621,False,True,True,True,1193.521632144669,1193.5216321446726
sub-via391,CFIN,5500,[5500],[4153.56233577],4153.562335767056,False,True,True,True,1479.072463948337,1479.0724639483396,4574,[4574],[3464.87785593],3464.8778559330417,False,True,True,True,1233.486033865076,1233.4860338650788
sub-via444,CFIN,4994,[4994],[3763.21775329],3763.217753292598,False,True,True,True,1377.5284034311662,1377.5284034311653,4738,[4738],[3605.00508881],3605.0050888136293,False,True,True,True,1340.7324668487654,1340.732466848769
sub-via485,CFIN,5456,[5456],[3989.18363383],3989.1836338328244,False,True,True,True,1445.145524663878,1445.1455246638761,5400,[5400],[4014.21118315],4014.2111831531092,False,True,True,True,1450.9905078959919,1450.990507895989
sub-via050,CFIN,5454,[5454],[4092.97859791],4092.9785979132007,False,True,True,True,1465.2268387686363,1465.2268387686436,5348,[5348],[3961.73056751],3961.730567506747,False,True,True,True,1428.5547949253178,1428.5547949253187
sub-via017,CFIN,4870,[4870],[3647.77302994],3647.773029943316,False,True,True,True,1299.5903088106325,1299.5903088106343,3346,[3346],[2463.67836961],2463.678369612289,False,True,True,True,878.7674751310201,878.7674751310183
