caseid,centre,lCS_junctions,rCS_junctions
sub-via135,DRCMR,"{1: 6, 3: 13, 5: 2, 8: 5, 9: 2}","{1: 2, 3: 2, 8: 2}"
sub-via281,DRCMR,"{2: 5, 4: 3, 5: 2, 7: 2}","{1: 5, 3: 3, 5: 2, 7: 2}"
sub-via308,DRCMR,"{1: 3, 3: 2, 5: 4}","{1: 5, 2: 2, 3: 2, 4: 5}"
sub-via277,DRCMR,{2: 2},"{2: 2, 4: 2}"
sub-via265,DRCMR,"{1: 2, 7: 2}","{8: 2, 10: 2, 11: 3, 12: 2}"
sub-via183,DRCMR,"{2: 2, 3: 5}","{2: 2, 4: 2}"
sub-via215,DRCMR,"{2: 3, 6: 7}","{4: 4, 6: 4}"
sub-via418,DRCMR,"{1: 5, 2: 2, 3: 6, 4: 4, 5: 3, 6: 2, 7: 4}","{3: 2, 4: 2, 10: 3}"
sub-via404,DRCMR,"{1: 3, 2: 3, 3: 2}","{2: 7, 3: 4}"
sub-via369,DRCMR,"{1: 2, 3: 4, 4: 5}","{1: 2, 2: 2, 4: 3, 6: 5}"
sub-via518,DRCMR,"{1: 3, 3: 5, 4: 2, 5: 4, 9: 2}",{12: 5}
sub-via043,DRCMR,"{1: 3, 2: 3, 3: 3, 4: 4, 5: 4, 6: 2, 7: 2}",{}
sub-via087,DRCMR,"{3: 6, 6: 2, 7: 2}","{2: 2, 3: 2}"
